,ts_code,trade_date,open,high,low,close,pct_chg,vol
0,000488.SZ,20001120,4.6829,4.7951,4.2653,4.302,6.9697,213974.46
1,000488.SZ,20001121,4.302,4.3503,4.1531,4.157,-3.3705,60974.83
2,000488.SZ,20001122,4.157,4.3194,4.157,4.2266,1.6743,34388.86
3,000488.SZ,20001123,4.2363,4.273,4.1957,4.2169,-0.2295,25552.4
4,000488.SZ,20001124,4.215,4.244,4.0797,4.1164,-2.3833,23047.25
5,000488.SZ,20001127,4.0951,4.1473,4.07,4.1164,0.0,18583.17
6,000488.SZ,20001128,4.1183,4.1531,4.1087,4.1338,0.4227,7650.87
7,000488.SZ,20001129,4.1377,4.1473,4.0816,4.0971,-0.8878,11215.38
8,000488.SZ,20001130,4.0893,4.1009,4.0545,4.0681,-0.7078,17646.01
9,000488.SZ,20001201,4.0719,4.1087,4.0603,4.0951,0.6637,8548.67
10,000488.SZ,20001204,4.0951,4.1009,4.0584,4.0777,-0.4249,10896.79
11,000488.SZ,20001205,4.0797,4.1531,4.0603,4.1203,1.0447,13851.92
12,000488.SZ,20001206,4.1377,4.1473,4.0603,4.0739,-1.1261,10823.0
13,000488.SZ,20001207,4.0893,4.1203,4.0584,4.0739,0.0,11488.61
14,000488.SZ,20001208,4.0797,4.0893,4.0603,4.0681,-0.1424,7662.96
15,000488.SZ,20001211,4.0623,4.0661,4.0023,4.0139,-1.3323,9866.25
16,000488.SZ,20001212,4.0217,4.1512,4.0178,4.0661,1.3005,10245.74
17,000488.SZ,20001213,4.0797,4.0971,4.0236,4.0352,-0.7599,7263.99
18,000488.SZ,20001214,4.0661,4.0661,4.0159,4.0217,-0.3346,6025.1
19,000488.SZ,20001215,4.0217,4.0371,3.9985,4.0062,-0.3854,6391.97
20,000488.SZ,20001218,4.0081,4.041,3.9346,3.9695,-0.9161,7285.21
21,000488.SZ,20001219,3.9695,4.012,3.9462,3.9695,0.0,5683.32
22,000488.SZ,20001220,3.9791,4.0565,3.952,4.0391,1.7534,7327.78
23,000488.SZ,20001221,4.0507,4.0507,3.9849,3.9849,-1.3419,4929.8
24,000488.SZ,20001222,3.9656,3.9849,3.896,3.9095,-1.8921,11958.73
25,000488.SZ,20001225,3.9018,3.923,3.751,3.8225,-2.2253,14104.49
26,000488.SZ,20001226,3.8283,3.923,3.7722,3.9153,2.4277,9215.48
27,000488.SZ,20001227,3.9153,3.9153,3.836,3.8476,-1.7291,5208.34
28,000488.SZ,20001228,3.8476,3.8631,3.7722,3.7858,-1.6062,8222.65
29,000488.SZ,20001229,3.7896,3.867,3.78,3.8399,1.429,3519.79
30,000488.SZ,20010102,3.8399,3.896,3.7974,3.896,1.461,6909.63
31,000488.SZ,20010103,3.9037,3.9095,3.867,3.9037,0.1976,7283.35
32,000488.SZ,20010104,3.9056,3.9985,3.9056,3.9714,1.7343,10433.29
33,000488.SZ,20010105,3.9733,4.0294,3.9637,3.9675,-0.0982,6291.4
34,000488.SZ,20010108,3.9675,3.9675,3.8476,3.865,-2.5835,6798.87
35,000488.SZ,20010109,3.8766,3.894,3.8302,3.865,0.0,3662.0
36,000488.SZ,20010110,3.8689,3.9404,3.8496,3.9288,1.6507,3503.23
37,000488.SZ,20010111,3.9404,3.9404,3.8766,3.8844,-1.1301,4589.48
38,000488.SZ,20010112,3.8844,3.9927,3.8438,3.9269,1.0941,7465.49
39,000488.SZ,20010115,3.9056,3.925,3.7703,3.7761,-3.8402,7840.3
40,000488.SZ,20010116,3.78,3.8476,3.7703,3.8283,1.3824,8032.9
41,000488.SZ,20010117,3.8264,3.836,3.7896,3.807,-0.5564,2600.77
42,000488.SZ,20010118,3.809,3.836,3.809,3.8322,0.6619,2435.13
43,000488.SZ,20010119,3.8438,3.9056,3.8438,3.867,0.9081,4515.55
44,000488.SZ,20010205,3.9018,3.9056,3.7742,3.7896,-2.0016,3622.98
45,000488.SZ,20010206,3.78,3.7993,3.6736,3.7162,-1.9369,5359.7
46,000488.SZ,20010207,3.693,3.722,3.606,3.6311,-2.29,7840.98
47,000488.SZ,20010208,3.635,3.6678,3.4957,3.5035,-3.5141,3926.85
48,000488.SZ,20010209,3.5189,3.577,3.5189,3.5383,0.9933,4735.5
49,000488.SZ,20010212,3.5383,3.577,3.4764,3.575,1.0372,4340.88
50,000488.SZ,20010213,3.577,3.6021,3.5499,3.5576,-0.4867,1917.2
51,000488.SZ,20010214,3.5596,3.5634,3.5093,3.5151,-1.1946,2422.0
52,000488.SZ,20010215,3.5228,3.5383,3.5112,3.517,0.0541,1565.61
53,000488.SZ,20010216,3.4977,3.5131,3.459,3.4745,-1.2084,3839.0
54,000488.SZ,20010219,3.4841,3.6118,3.4764,3.5886,3.2839,3902.52
55,000488.SZ,20010220,3.6137,3.6543,3.4745,3.4996,-2.4801,13652.19
56,000488.SZ,20010221,3.4706,3.4706,3.1497,3.1516,-9.944,30178.75
57,000488.SZ,20010222,3.2096,3.2831,3.1535,3.1651,0.4284,6841.12
58,000488.SZ,20010223,3.1671,3.2637,3.1671,3.2579,2.932,9509.54
59,000488.SZ,20010226,3.2676,3.2869,3.2328,3.2869,0.8901,6232.25
60,000488.SZ,20010227,3.2869,3.5305,3.2541,3.5209,7.1192,15708.1
61,000488.SZ,20010228,3.5209,3.5344,3.4126,3.4203,-2.8572,9939.39
62,000488.SZ,20010301,3.4203,3.4706,3.3546,3.4203,0.0,4559.91
63,000488.SZ,20010302,3.4513,3.4513,3.401,3.4029,-0.5087,5898.94
64,000488.SZ,20010305,3.4029,3.4145,3.3488,3.3565,-1.3635,4278.87
65,000488.SZ,20010306,3.3546,3.3546,3.2985,3.3256,-0.9206,3512.4
66,000488.SZ,20010307,3.3275,3.4223,3.3275,3.3643,1.1637,3233.1
67,000488.SZ,20010308,3.4029,3.4068,3.3739,3.3971,0.9749,2348.24
68,000488.SZ,20010309,3.4049,3.4184,3.3643,3.3913,-0.1707,3316.52
69,000488.SZ,20010312,3.3913,3.4029,3.3488,3.3643,-0.7962,2366.42
70,000488.SZ,20010313,3.3449,3.4261,3.3411,3.3836,0.5737,1951.77
71,000488.SZ,20010314,3.3797,3.401,3.3662,3.3913,0.2276,3191.06
72,000488.SZ,20010315,3.3933,3.4455,3.3739,3.4145,0.6841,4286.98
73,000488.SZ,20010316,3.4029,3.4571,3.3933,3.4551,1.189,4996.84
74,000488.SZ,20010319,3.4551,3.5189,3.4551,3.5189,1.8465,7443.47
75,000488.SZ,20010320,3.5286,3.546,3.4803,3.5015,-0.4945,6977.97
76,000488.SZ,20010321,3.5015,3.5247,3.4783,3.5189,0.4969,5317.24
77,000488.SZ,20010322,3.5228,3.5866,3.5131,3.5228,0.1108,9431.19
78,000488.SZ,20010323,3.5228,3.5383,3.4261,3.4339,-2.5236,8831.14
79,000488.SZ,20010327,3.4803,3.6678,3.4764,3.5557,3.547,4999.1
80,000488.SZ,20010328,3.5576,3.604,3.5383,3.5866,0.869,8285.45
81,000488.SZ,20010329,3.635,3.7471,3.6079,3.7065,3.343,21951.59
82,000488.SZ,20010330,3.722,3.7471,3.6852,3.7316,0.6772,12309.09
83,000488.SZ,20010402,3.7413,3.8264,3.7413,3.809,2.0742,12851.92
84,000488.SZ,20010403,3.809,3.8148,3.7162,3.751,-1.5227,9014.0
85,000488.SZ,20010404,3.749,3.749,3.635,3.6562,-2.5273,9410.8
86,000488.SZ,20010405,3.6446,3.693,3.6118,3.693,1.0065,5042.38
87,000488.SZ,20010406,3.693,3.751,3.693,3.72,0.7311,5283.05
88,000488.SZ,20010409,3.7258,3.7258,3.6833,3.7046,-0.414,3220.55
89,000488.SZ,20010410,3.7316,3.7316,3.6736,3.7046,0.0,3472.71
90,000488.SZ,20010411,3.7123,3.7162,3.6736,3.693,-0.3131,2858.22
91,000488.SZ,20010412,3.693,3.7278,3.693,3.7026,0.26,3239.33
92,000488.SZ,20010413,3.7026,3.7046,3.6736,3.6949,-0.208,4414.13
93,000488.SZ,20010416,3.6988,3.7896,3.6988,3.7819,2.3546,8428.93
94,000488.SZ,20010417,3.8012,3.8457,3.7896,3.838,1.4834,10466.28
95,000488.SZ,20010418,3.8302,3.8302,3.7703,3.809,-0.7556,6384.85
