,ts_code,trade_date,open,high,low,close,pct_chg,vol
0,002404.SZ,20100511,5.1183,5.3458,4.8976,4.909,-1.9083,141008.69
1,002404.SZ,20100512,4.6065,4.6065,4.4177,4.4177,-10.0081,57929.41
2,002404.SZ,20100513,4.4017,4.5109,4.2266,4.5086,2.0576,44443.78
3,002404.SZ,20100514,4.4017,4.6838,4.3244,4.5723,1.4129,42213.22
4,002404.SZ,20100517,4.4518,4.5837,4.3403,4.3449,-4.9734,29431.32
5,002404.SZ,20100518,4.3267,4.3858,4.0969,4.2948,-1.1531,29238.03
6,002404.SZ,20100519,4.2106,4.4359,4.2061,4.2948,0.0,26159.72
7,002404.SZ,20100520,4.2129,4.2903,4.1128,4.1288,-3.8651,22764.61
8,002404.SZ,20100521,4.0264,4.2357,4.0036,4.2266,2.3687,21216.43
9,002404.SZ,20100524,4.2516,4.5041,4.2129,4.4791,5.9741,36909.86
10,002404.SZ,20100525,4.3949,4.4245,4.2994,4.3403,-3.0988,22883.77
11,002404.SZ,20100526,4.338,4.4245,4.3221,4.379,0.8916,13315.07
12,002404.SZ,20100527,4.3699,4.47,4.3289,4.4518,1.6625,18814.82
13,002404.SZ,20100528,4.4836,4.6815,4.4836,4.4995,1.0715,33933.07
14,002404.SZ,20100531,4.545,4.545,4.3016,4.3016,-4.3983,18981.99
15,002404.SZ,20100601,4.2834,4.2834,4.1174,4.1765,-2.9082,15083.27
16,002404.SZ,20100602,4.1151,4.2379,4.1151,4.2379,1.4701,8971.12
17,002404.SZ,20100603,4.2402,4.313,4.2152,4.2197,-0.4295,10816.49
18,002404.SZ,20100604,4.1742,4.2721,4.1401,4.2539,0.8105,8027.48
19,002404.SZ,20100607,4.1197,4.2903,4.1197,4.2652,0.2656,9698.56
20,002404.SZ,20100608,4.3449,4.3926,4.2675,4.3426,1.8147,14095.58
21,002404.SZ,20100609,4.3426,4.4222,4.3107,4.404,1.4139,16315.55
22,002404.SZ,20100610,4.3722,4.4472,4.3449,4.3949,-0.2066,14362.93
23,002404.SZ,20100611,4.4131,4.5223,4.3972,4.4631,1.5518,20468.4
24,002404.SZ,20100617,4.5041,4.5086,4.3312,4.3312,-2.9553,13607.69
25,002404.SZ,20100618,4.313,4.3176,4.1151,4.1424,-4.3591,11177.74
26,002404.SZ,20100621,4.1174,4.2743,4.1151,4.2539,2.6917,6744.87
27,002404.SZ,20100622,4.2288,4.3107,4.2266,4.2743,0.4796,5715.66
28,002404.SZ,20100623,4.2743,4.313,4.1856,4.2834,0.2129,6206.18
29,002404.SZ,20100624,4.2334,4.3107,4.2311,4.2743,-0.2124,4312.87
30,002404.SZ,20100625,4.2334,4.3198,4.1902,4.3198,1.0645,7579.06
31,002404.SZ,20100628,4.3221,4.4063,4.2994,4.3449,0.581,12498.65
32,002404.SZ,20100629,4.3471,4.3631,4.081,4.0833,-6.0209,13600.31
33,002404.SZ,20100630,4.0173,4.0946,4.0127,4.0787,-0.1127,6016.54
34,002404.SZ,20100701,4.1015,4.1333,4.0514,4.0924,0.3359,5299.59
35,002404.SZ,20100702,4.0855,4.0855,3.833,3.9741,-2.8907,9143.49
36,002404.SZ,20100705,3.9286,3.9809,3.8922,3.9536,-0.5158,4131.84
37,002404.SZ,20100706,3.9172,4.0355,3.9172,4.0332,2.0134,5515.24
38,002404.SZ,20100707,4.0173,4.0514,3.99,4.0514,0.4513,4291.72
39,002404.SZ,20100708,4.0491,4.0901,4.0059,4.0287,-0.5603,3993.55
40,002404.SZ,20100709,4.0332,4.131,4.0082,4.1128,2.0875,7152.4
41,002404.SZ,20100712,4.1583,4.1652,4.1174,4.1333,0.4984,6128.71
42,002404.SZ,20100713,4.1128,4.1151,4.0264,4.0855,-1.1565,5327.23
43,002404.SZ,20100714,4.081,4.1333,4.0628,4.0901,0.1126,4613.9
44,002404.SZ,20100715,4.0537,4.1037,4.015,4.0764,-0.335,4967.0
45,002404.SZ,20100716,4.2243,4.2243,4.0469,4.1015,0.6157,5811.06
46,002404.SZ,20100719,4.0264,4.1538,4.0264,4.1288,0.6656,5000.69
47,002404.SZ,20100720,4.1106,4.2175,4.1106,4.2129,2.0369,10824.21
48,002404.SZ,20100721,4.2197,4.3426,4.1833,4.2857,1.728,19122.48
49,002404.SZ,20100722,4.2584,4.2925,4.1902,4.2812,-0.105,12390.27
50,002404.SZ,20100723,4.2652,4.2812,4.2084,4.263,-0.4251,7702.79
51,002404.SZ,20100726,4.2539,4.2857,4.1924,4.2789,0.373,9787.43
52,002404.SZ,20100727,4.2539,4.2743,4.2243,4.2311,-1.1171,6763.49
53,002404.SZ,20100728,4.2288,4.3107,4.2152,4.3107,1.8813,12791.17
54,002404.SZ,20100729,4.3107,4.3904,4.2994,4.3289,0.4222,13344.6
55,002404.SZ,20100730,4.3653,4.3881,4.3244,4.338,0.2102,11021.26
56,002404.SZ,20100802,4.3813,4.4086,4.3494,4.3949,1.3117,11337.49
57,002404.SZ,20100803,4.4131,4.4222,4.2994,4.3221,-1.6565,13541.8
58,002404.SZ,20100804,4.3198,4.3494,4.2584,4.3289,0.1573,7062.38
59,002404.SZ,20100805,4.3289,4.3972,4.3221,4.3653,0.8409,11208.35
60,002404.SZ,20100806,4.3767,4.4586,4.3403,4.4586,2.1373,15389.15
61,002404.SZ,20100809,4.4745,4.8339,4.4745,4.7543,6.6321,43405.37
62,002404.SZ,20100810,4.7202,4.7543,4.5155,4.5268,-4.7851,26311.61
63,002404.SZ,20100811,4.4427,4.5155,4.429,4.4813,-1.0051,37374.41
64,002404.SZ,20100812,4.4359,4.4904,4.3471,4.3562,-2.7916,19403.46
65,002404.SZ,20100813,4.3813,4.4586,4.3744,4.4404,1.9329,16454.52
66,002404.SZ,20100817,4.545,4.6815,4.5268,4.5723,2.9705,43321.04
67,002404.SZ,20100818,4.5473,4.6338,4.5223,4.5951,0.4987,23043.8
68,002404.SZ,20100819,4.6338,4.7202,4.6065,4.6633,1.4842,32621.99
69,002404.SZ,20100820,4.6292,4.6656,4.5519,4.5837,-1.7069,21701.59
70,002404.SZ,20100823,4.5723,4.636,4.4995,4.5155,-1.4879,17288.55
71,002404.SZ,20100824,4.5223,4.5837,4.4927,4.5496,0.7552,11881.57
72,002404.SZ,20100825,4.5268,4.5928,4.4813,4.4882,-1.3496,12167.1
73,002404.SZ,20100826,4.5382,4.5405,4.4586,4.5223,0.7598,8125.26
74,002404.SZ,20100827,4.5262,4.5836,4.5078,4.5468,0.5573,15407.05
75,002404.SZ,20100830,4.5675,4.6341,4.5376,4.625,1.7199,22813.95
76,002404.SZ,20100831,4.6135,4.6295,4.5606,4.6089,-0.3481,17640.07
77,002404.SZ,20100901,4.6181,4.6778,4.5399,4.5583,-1.0979,22098.61
78,002404.SZ,20100902,4.6066,4.6847,4.5698,4.6341,1.6629,24856.85
79,002404.SZ,20100903,4.6433,4.71,4.6112,4.6663,0.6948,24503.06
80,002404.SZ,20100906,4.6801,4.71,4.5491,4.5698,-2.068,20951.23
81,002404.SZ,20100907,4.5698,4.6387,4.556,4.6158,1.0066,10776.93
82,002404.SZ,20100908,4.6364,4.6364,4.5813,4.5951,-0.4485,10956.69
83,002404.SZ,20100909,4.5974,4.6364,4.5399,4.5445,-1.1012,17058.51
84,002404.SZ,20100910,4.5514,4.5721,4.4572,4.5124,-0.7063,13893.76
85,002404.SZ,20100913,4.5032,4.5606,4.4986,4.556,0.9662,10613.16
86,002404.SZ,20100914,4.5675,4.6158,4.5376,4.5652,0.2019,10510.21
87,002404.SZ,20100915,4.5652,4.6548,4.4779,4.4986,-1.4589,10276.89
88,002404.SZ,20100916,4.4986,4.5331,4.3079,4.3401,-3.5233,13724.89
89,002404.SZ,20100917,4.3424,4.363,4.2826,4.2872,-1.2189,7650.61
90,002404.SZ,20100920,4.2964,4.3194,4.2321,4.2619,-0.5901,6257.89
91,002404.SZ,20100921,4.3309,4.3309,4.2528,4.278,0.3778,3533.86
92,002404.SZ,20100927,4.278,4.3332,4.2573,4.324,1.0753,6366.44
93,002404.SZ,20100928,4.3492,4.3492,4.2252,4.2459,-1.8062,6231.53
94,002404.SZ,20100929,4.2459,4.2573,4.1287,4.1356,-2.5978,9688.53
95,002404.SZ,20100930,4.1425,4.2045,4.1149,4.1815,1.1099,5100.26
96,002404.SZ,20101008,4.2068,4.2849,4.193,4.2826,2.4178,7470.71
97,002404.SZ,20101011,4.2803,4.3332,4.2642,4.301,0.4296,10259.71
98,002404.SZ,20101012,4.2941,4.3538,4.2711,4.3102,0.2139,7084.39
99,002404.SZ,20101013,4.301,4.3263,4.2734,4.3056,-0.1067,8514.42
100,002404.SZ,20101014,4.2987,4.3263,4.1907,4.2252,-1.8673,12402.39
101,002404.SZ,20101015,4.216,4.2482,4.1609,4.1769,-1.1431,10419.23
102,002404.SZ,20101018,4.1815,4.494,4.0667,4.4917,7.5367,31934.03
103,002404.SZ,20101019,4.4457,4.5905,4.3653,4.5331,0.9217,42540.53
104,002404.SZ,20101020,4.4572,4.5009,4.3722,4.4297,-2.281,18396.65
105,002404.SZ,20101021,4.432,4.4549,4.3194,4.3745,-1.2461,13155.76
106,002404.SZ,20101022,4.3883,4.448,4.3745,4.432,1.3144,9216.15
107,002404.SZ,20101025,4.4297,4.5514,4.4297,4.5216,2.0217,19599.08
108,002404.SZ,20101026,4.5514,4.5606,4.4457,4.4802,-0.9156,13679.11
109,002404.SZ,20101027,4.4825,4.5101,4.4412,4.4457,-0.7701,11115.72
110,002404.SZ,20101028,4.4457,4.4848,4.4297,4.4848,0.8795,11957.11
111,002404.SZ,20101029,4.4848,4.8478,4.4366,4.8386,7.8889,59324.2
112,002404.SZ,20101101,4.772,5.0316,4.7237,4.9581,2.4697,79060.2
113,002404.SZ,20101102,4.9351,4.9351,4.7789,4.7789,-3.6143,28198.52
114,002404.SZ,20101103,4.7628,4.8111,4.6548,4.6571,-2.5487,18650.16
115,002404.SZ,20101104,4.6663,4.8157,4.6502,4.7858,2.7635,16352.29
116,002404.SZ,20101105,4.8225,4.8478,4.7375,4.7812,-0.0961,16026.25
117,002404.SZ,20101108,4.8111,5.027,4.7812,5.0224,5.0448,42005.32
118,002404.SZ,20101109,5.0063,5.0086,4.8846,4.9144,-2.1504,25119.13
119,002404.SZ,20101110,4.9053,5.0546,4.9053,4.9972,1.6848,31397.39
120,002404.SZ,20101111,4.9857,5.0523,4.8846,4.8869,-2.2072,28646.92
121,002404.SZ,20101112,4.8708,4.8915,4.5216,4.5468,-6.9594,29308.06
122,002404.SZ,20101115,4.5376,4.6594,4.5376,4.6456,2.173,17920.56
123,002404.SZ,20101116,4.6364,4.7192,4.4917,4.5514,-2.0277,16908.24
124,002404.SZ,20101117,4.5193,4.8409,4.5124,4.8202,5.9059,38257.43
125,002404.SZ,20101118,4.7743,4.9926,4.7375,4.8938,1.5269,61494.7
126,002404.SZ,20101119,4.8478,4.8892,4.7352,4.8777,-0.329,31727.7
127,002404.SZ,20101122,4.8248,5.0086,4.8088,4.8984,0.4244,26498.48
128,002404.SZ,20101123,4.8524,4.9512,4.7215,4.8294,-1.4086,18081.14
129,002404.SZ,20101124,4.7628,4.9374,4.7628,4.9282,2.0458,21956.92
130,002404.SZ,20101125,4.9581,5.0316,4.9007,4.9512,0.4667,26423.25
131,002404.SZ,20101126,4.9213,5.027,4.9167,4.9604,0.1858,19867.97
132,002404.SZ,20101129,4.9742,5.2269,4.9696,5.1465,3.7517,44983.9
133,002404.SZ,20101130,5.1051,5.135,4.7973,4.9857,-3.1245,35508.12
134,002404.SZ,20101201,4.9397,5.0293,4.9007,4.9213,-1.2917,13019.98
135,002404.SZ,20101202,4.988,5.1626,4.9512,5.1373,4.3891,33875.66
136,002404.SZ,20101203,5.135,5.135,4.9007,5.0132,-2.4157,25326.65
137,002404.SZ,20101206,5.0546,5.1833,4.9512,4.9857,-0.5486,29486.76
138,002404.SZ,20101207,4.9397,5.0385,4.8248,4.9719,-0.2768,20263.82
139,002404.SZ,20101208,4.9535,5.0018,4.8938,4.9144,-1.1565,12748.04
140,002404.SZ,20101209,4.8984,4.9535,4.8455,4.8938,-0.4192,11934.47
141,002404.SZ,20101210,4.8915,4.9489,4.8524,4.9397,0.9379,9783.63
142,002404.SZ,20101213,4.9788,5.1718,4.9558,5.1465,4.1865,34388.07
143,002404.SZ,20101214,5.1465,5.1534,5.073,5.1051,-0.8044,19937.0
144,002404.SZ,20101215,5.1534,5.2246,5.0891,5.0982,-0.1352,23502.28
145,002404.SZ,20101216,5.0982,5.2085,5.0891,5.1787,1.579,17154.86
146,002404.SZ,20101217,5.1741,5.2039,5.1281,5.1947,0.309,14871.07
147,002404.SZ,20101220,5.1993,5.3073,5.0776,5.22,0.487,32581.51
148,002404.SZ,20101221,5.2154,5.2453,5.1304,5.2384,0.3525,15946.89
149,002404.SZ,20101222,5.2361,5.2752,5.1419,5.1419,-1.8422,13244.19
150,002404.SZ,20101223,5.1419,5.1626,4.9305,4.9305,-4.1113,19209.94
151,002404.SZ,20101224,4.9466,4.9535,4.8248,4.8547,-1.5374,11146.12
152,002404.SZ,20101227,4.8961,4.9558,4.687,4.71,-2.9806,16151.28
153,002404.SZ,20101228,4.7123,4.7513,4.6364,4.6755,-0.7325,12391.28
154,002404.SZ,20101230,4.7582,4.7858,4.6985,4.7375,1.3261,8637.91
