,ts_code,trade_date,open,high,low,close,pct_chg,vol
0,002008.SZ,20040625,3.2149,3.8579,2.8942,3.1418,324.9121,207245.12
1,002008.SZ,20040628,2.8283,2.8934,2.8275,2.8275,-10.0038,12038.0
2,002008.SZ,20040629,2.5446,2.5446,2.5446,2.5446,-10.0053,3008.0
3,002008.SZ,20040630,2.2898,2.4674,2.2898,2.3308,-8.4021,94522.51
4,002008.SZ,20040701,2.3525,2.412,2.2504,2.2746,-2.4112,51540.2
5,002008.SZ,20040702,2.2794,2.3453,2.0736,2.2199,-2.4048,56847.03
6,002008.SZ,20040705,2.2352,2.2906,2.1644,2.2504,1.3739,35058.52
7,002008.SZ,20040706,2.2191,2.2995,2.2127,2.2263,-1.0709,25860.61
8,002008.SZ,20040707,2.2103,2.2183,2.1235,2.1363,-4.0426,22709.82
9,002008.SZ,20040708,2.1218,2.1886,2.1138,2.1419,0.2621,14610.15
10,002008.SZ,20040709,2.146,2.1853,2.0881,2.0921,-2.325,15417.65
11,002008.SZ,20040712,2.0736,2.0744,1.9273,1.941,-7.2224,30828.54
12,002008.SZ,20040713,1.929,1.9595,1.8454,1.9161,-1.2828,17890.0
13,002008.SZ,20040714,1.929,1.9354,1.8325,1.896,-1.049,19940.5
14,002008.SZ,20040715,1.9691,2.0399,1.9595,1.9611,3.4335,24842.98
15,002008.SZ,20040716,1.9603,2.1379,1.9426,2.0977,6.9655,38847.37
16,002008.SZ,20040719,2.0776,2.1243,2.0575,2.0712,-1.2633,18598.93
17,002008.SZ,20040720,2.0736,2.1283,2.0575,2.1058,1.6705,16513.61
18,002008.SZ,20040721,2.1018,2.1821,2.0744,2.0776,-1.3392,20425.03
19,002008.SZ,20040722,2.0736,2.1122,1.945,1.9667,-5.3379,20434.31
20,002008.SZ,20040723,1.9611,2.0367,1.9354,2.0326,3.3508,14876.9
21,002008.SZ,20040726,2.0077,2.0077,1.9145,1.9498,-4.0736,11767.55
22,002008.SZ,20040727,1.945,1.9828,1.8767,1.9153,-1.7694,11031.5
23,002008.SZ,20040728,1.9185,2.1066,1.9185,2.1066,9.988,27100.51
24,002008.SZ,20040729,2.1291,2.2352,2.1098,2.162,2.6298,35741.37
