,ts_code,trade_date,open,high,low,close,pct_chg,vol
0,000007.SZ,20000104,5.3944,5.447,5.1839,5.447,3.5,3368.0
1,000007.SZ,20000105,5.447,5.5654,5.3681,5.4273,-0.3617,7033.0
2,000007.SZ,20000106,5.276,5.5917,5.2694,5.5786,2.7878,6041.0
3,000007.SZ,20000107,5.6575,6.1378,5.6444,6.1378,10.024,19487.0
4,000007.SZ,20000110,6.2496,6.5719,6.2167,6.322,3.0011,41236.0
5,000007.SZ,20000111,6.3812,6.4141,5.8417,5.9207,-6.3477,15895.0
6,000007.SZ,20000112,5.8812,6.0391,5.6444,5.6904,-3.8897,10367.0
7,000007.SZ,20000113,5.6575,5.8417,5.5917,5.6641,-0.4622,5287.0
8,000007.SZ,20000114,5.6575,5.7365,5.3812,5.4339,-4.0642,4546.0
9,000007.SZ,20000117,5.526,5.5917,5.3154,5.5391,1.936,3958.0
10,000007.SZ,20000118,5.5786,5.8286,5.5391,5.6378,1.7819,5205.0
11,000007.SZ,20000119,5.7102,5.822,5.5917,5.7891,2.6837,4993.0
12,000007.SZ,20000120,5.822,5.8286,5.7102,5.7759,-0.228,6902.0
13,000007.SZ,20000121,5.8417,6.2759,5.8417,5.9338,2.7338,19852.0
14,000007.SZ,20000124,5.9207,6.0851,5.7036,5.9009,-0.5545,12599.0
15,000007.SZ,20000125,5.9207,6.0391,5.7957,5.8812,-0.3338,6448.0
16,000007.SZ,20000126,5.8746,5.8878,5.6707,5.7365,-2.4604,5705.0
17,000007.SZ,20000127,5.743,6.118,5.697,5.9404,3.5544,12180.0
18,000007.SZ,20000128,5.9207,6.1707,5.8483,6.072,2.2153,17158.0
19,000007.SZ,20000214,6.3022,6.6838,6.3022,6.6838,10.0758,22725.0
20,000007.SZ,20000215,6.9074,7.3548,6.6575,6.8088,1.8702,54224.0
21,000007.SZ,20000216,6.7825,7.46,6.7101,7.46,9.5641,55509.0
22,000007.SZ,20000217,8.1574,8.2034,7.2035,7.5456,1.1475,133297.0
23,000007.SZ,20000218,7.4732,8.0126,7.0916,7.9271,5.0559,57399.0
24,000007.SZ,20000221,8.0653,8.4863,7.6969,8.0521,1.5769,79713.0
25,000007.SZ,20000222,8.0916,8.0916,7.2495,7.2495,-9.9676,42507.0
26,000007.SZ,20000223,7.039,7.0785,6.5785,6.5983,-8.9827,31086.0
27,000007.SZ,20000224,6.5785,6.9732,6.4469,6.9732,5.6818,17616.0
28,000007.SZ,20000225,6.9601,7.0719,6.6969,6.7956,-2.5469,15877.0
29,000007.SZ,20000228,6.8088,7.118,6.6575,6.993,2.9048,21755.0
30,000007.SZ,20000229,7.0916,7.2364,6.7759,7.0456,0.7522,21162.0
31,000007.SZ,20000301,6.9732,7.039,6.743,6.8482,-2.8017,16442.0
32,000007.SZ,20000302,6.8285,7.5324,6.7759,7.5258,9.8946,44232.0
33,000007.SZ,20000303,7.6179,8.1837,7.5653,7.6837,2.0981,79996.0
34,000007.SZ,20000306,7.8153,8.0916,7.1048,7.1245,-7.2777,41284.0
35,000007.SZ,20000307,6.9732,7.3548,6.9074,7.335,2.9546,21745.0
36,000007.SZ,20000308,7.4666,7.8942,7.4074,7.8284,6.7267,38161.0
37,000007.SZ,20000309,7.8942,8.0258,7.5982,7.7495,-1.0079,36803.0
38,000007.SZ,20000310,7.6969,8.256,7.6311,8.0521,3.9048,96111.0
39,000007.SZ,20000313,8.1639,8.8547,7.8284,8.8547,9.9676,132686.0
40,000007.SZ,20000314,8.1047,8.5455,7.9666,8.1639,-7.8015,125868.0
41,000007.SZ,20000315,8.1903,8.9797,8.1639,8.9797,9.9928,171958.0
42,000007.SZ,20000316,8.881,8.881,8.085,8.085,-9.9636,115561.0
43,000007.SZ,20000317,7.9929,8.6771,7.96,8.3547,3.3358,71772.0
44,000007.SZ,20000320,8.2231,8.6376,8.0916,8.3152,-0.4728,62944.0
45,000007.SZ,20000321,8.3152,8.5521,7.8153,7.9797,-4.0348,79866.0
46,000007.SZ,20000322,7.9008,8.1245,7.6969,7.8416,-1.7306,41001.0
47,000007.SZ,20000323,7.8284,8.4863,7.7692,8.3284,6.2079,39906.0
48,000007.SZ,20000324,8.3547,8.4863,8.0258,8.0324,-3.5541,43799.0
49,000007.SZ,20000327,7.9666,8.5915,7.8942,8.5784,6.7975,55597.0
50,000007.SZ,20000328,8.7494,9.4073,8.6179,9.2297,7.5923,119203.0
51,000007.SZ,20000329,9.2099,9.3152,8.6705,8.7889,-4.7759,58631.0
52,000007.SZ,20000330,8.7494,9.131,8.7494,8.9402,1.7215,39606.0
53,000007.SZ,20000331,8.9402,8.9468,8.4863,8.585,-3.9731,36959.0
