,ts_code,trade_date,open,high,low,close,pct_chg,vol
0,000419.SZ,20000104,2.8143,2.9214,2.8143,2.9214,3.6362,1954.0
1,000419.SZ,20000105,2.9624,3.0148,2.885,2.9442,0.7804,2253.0
2,000419.SZ,20000106,2.9396,3.1242,2.9396,3.1219,6.0356,2583.0
3,000419.SZ,20000107,3.1675,3.3681,3.1333,3.2541,4.2346,8240.0
4,000419.SZ,20000110,3.2473,3.2997,3.1447,3.2245,-0.9096,15769.0
5,000419.SZ,20000111,3.2701,3.4638,3.1675,3.204,-0.6358,10985.0
6,000419.SZ,20000112,3.2085,3.3043,3.0764,3.0946,-3.4145,4008.0
7,000419.SZ,20000113,3.0581,3.1219,3.0513,3.0559,-1.2506,2166.0
8,000419.SZ,20000114,3.0992,3.1219,3.008,3.106,1.6395,2633.0
9,000419.SZ,20000117,3.1447,3.302,3.1265,3.2359,4.1822,2615.0
10,000419.SZ,20000118,3.2587,3.2587,3.1675,3.1744,-1.9006,1996.0
11,000419.SZ,20000119,3.1242,3.1675,2.967,3.1584,-0.504,1796.0
12,000419.SZ,20000120,3.1789,3.1789,3.0536,3.1425,-0.5034,6099.0
13,000419.SZ,20000121,3.1652,3.1675,2.9784,3.024,-3.7709,13397.0
14,000419.SZ,20000124,3.0467,3.1356,2.9533,2.9624,-2.037,12868.0
15,000419.SZ,20000125,2.967,3.2587,2.9465,3.2587,10.002,26691.0
16,000419.SZ,20000126,3.327,3.3931,3.1447,3.2701,0.3498,17466.0
17,000419.SZ,20000127,3.2701,3.3498,3.1516,3.2655,-0.1407,9721.0
18,000419.SZ,20000128,3.2313,3.3498,3.1903,3.2769,0.3491,10192.0
19,000419.SZ,20000214,3.3453,3.6051,3.3453,3.6051,10.0156,14072.0
20,000419.SZ,20000215,3.7395,3.9378,3.5959,3.6187,0.3772,25790.0
21,000419.SZ,20000216,3.6005,3.7099,3.5914,3.637,0.5057,16060.0
22,000419.SZ,20000217,3.6803,3.7828,3.3043,3.327,-8.5235,18598.0
23,000419.SZ,20000218,3.327,3.6597,3.3043,3.6597,10.0,12431.0
24,000419.SZ,20000221,3.6871,4.0266,3.6689,4.0266,10.0254,19177.0
25,000419.SZ,20000222,4.2158,4.4095,3.8853,3.9127,-2.8287,62051.0
26,000419.SZ,20000224,3.7714,3.874,3.6575,3.7623,-3.8439,18364.0
27,000419.SZ,20000225,3.7988,4.0107,3.7965,3.9309,4.4813,16428.0
28,000419.SZ,20000228,4.0061,4.3252,4.0061,4.3252,10.0308,27590.0
29,000419.SZ,20000229,4.4437,4.6715,4.3297,4.4209,2.2126,49363.0
30,000419.SZ,20000301,4.3297,4.5348,4.2386,4.2932,-2.8886,19027.0
31,000419.SZ,20000302,4.1018,4.4437,3.8648,4.3411,1.1157,16035.0
32,000419.SZ,20000303,4.4437,4.569,4.3343,4.4437,2.3635,19990.0
33,000419.SZ,20000306,4.553,4.5804,4.1246,4.1611,-6.3596,20245.0
34,000419.SZ,20000307,4.2978,4.2978,4.0357,4.2386,1.8625,11223.0
35,000419.SZ,20000308,4.2386,4.2841,4.1588,4.2727,0.8045,4650.0
