,ts_code,trade_date,open,high,low,close,pct_chg,vol
0,000564.SZ,20000104,4.1923,4.4775,4.1923,4.449,6.5578,15022.0
1,000564.SZ,20000105,4.2779,4.757,4.2779,4.5117,1.4093,26521.0
2,000564.SZ,20000106,4.4661,4.7,4.3919,4.6771,3.666,20376.0
3,000564.SZ,20000107,4.7342,5.065,4.6771,5.008,7.0749,58999.0
4,000564.SZ,20000110,5.065,5.2361,4.7969,5.0821,1.4796,53390.0
5,000564.SZ,20000111,5.122,5.1334,4.6828,4.757,-6.397,31777.0
6,000564.SZ,20000112,4.7342,4.8483,4.4775,4.5231,-4.917,25650.0
7,000564.SZ,20000113,4.5231,4.6087,4.4205,4.4262,-2.1423,15747.0
8,000564.SZ,20000114,4.449,4.4775,4.1923,4.2551,-3.8656,17702.0
9,000564.SZ,20000117,4.1581,4.4547,4.1524,4.4376,4.289,12866.0
10,000564.SZ,20000118,4.4718,4.4832,4.2265,4.2608,-3.9841,13255.0
11,000564.SZ,20000119,4.2665,4.3919,4.2151,4.3292,1.6053,9412.0
12,000564.SZ,20000120,4.3235,4.3862,4.2094,4.3349,0.1317,19955.0
13,000564.SZ,20000121,4.3577,4.4433,4.1638,4.4034,1.5802,38253.0
14,000564.SZ,20000124,4.506,4.8425,4.4661,4.8425,9.9718,72004.0
15,000564.SZ,20000125,4.9623,5.065,4.6087,4.6429,-4.1218,48229.0
16,000564.SZ,20000126,4.6201,4.6201,4.4547,4.506,-2.9486,20227.0
17,000564.SZ,20000127,4.5117,4.7342,4.4034,4.6201,2.5322,32832.0
18,000564.SZ,20000128,4.6201,4.8483,4.6201,4.66,0.8636,41150.0
19,000564.SZ,20000214,4.7912,5.1277,4.7912,5.1277,10.0365,62261.0
20,000564.SZ,20000215,5.2475,5.6411,5.0821,5.5213,7.676,101205.0
21,000564.SZ,20000216,5.5042,6.0575,5.162,6.0575,9.7115,219012.0
22,000564.SZ,20000217,6.6621,6.6621,5.6354,5.6582,-6.5918,229982.0
23,000564.SZ,20000218,5.5327,5.932,5.1391,5.8863,4.0313,83894.0
24,000564.SZ,20000221,5.9491,6.0746,5.4757,5.527,-6.104,82244.0
25,000564.SZ,20000222,5.4757,5.6183,5.1905,5.2361,-5.2633,48968.0
26,000564.SZ,20000223,5.1905,5.2247,4.9053,5.0194,-4.1386,60033.0
27,000564.SZ,20000224,4.9623,5.3103,4.9623,5.2989,5.5684,34847.0
28,000564.SZ,20000225,5.276,5.8065,5.0935,5.2989,0.0,67493.0
29,000564.SZ,20000228,5.219,5.8065,5.162,5.738,8.2866,111248.0
30,000564.SZ,20000229,5.6411,5.8008,5.3616,5.5669,-2.9819,56965.0
31,000564.SZ,20000301,5.624,5.989,5.5669,5.7837,3.8944,73242.0
32,000564.SZ,20000302,5.7837,5.932,5.6411,5.7323,-0.8887,39016.0
33,000564.SZ,20000303,6.2685,6.3141,5.6354,5.6867,-0.7955,44639.0
34,000564.SZ,20000306,5.7038,5.8464,5.2475,5.2589,-7.5228,53119.0
35,000564.SZ,20000307,5.219,5.4186,5.1449,5.4072,2.82,26883.0
36,000564.SZ,20000308,5.4186,5.5783,5.2475,5.4643,1.056,36904.0
37,000564.SZ,20000309,5.4415,5.5042,5.3046,5.3217,-2.6097,22857.0
38,000564.SZ,20000310,5.3331,5.4186,5.219,5.2418,-1.5014,20963.0
39,000564.SZ,20000313,5.2475,5.3388,5.1334,5.2646,0.435,28042.0
40,000564.SZ,20000314,5.1905,5.2361,4.9851,5.1334,-2.4921,38201.0
41,000564.SZ,20000315,5.122,5.2817,5.0422,5.1277,-0.111,23480.0
42,000564.SZ,20000316,5.0194,5.1106,4.6942,4.7855,-6.6736,25155.0
43,000564.SZ,20000317,4.7627,5.1049,4.7456,4.9395,3.2181,22667.0
44,000564.SZ,20000320,4.9053,5.219,4.8483,5.1563,4.3891,27699.0
45,000564.SZ,20000321,5.1791,5.2133,5.0194,5.0992,-1.1074,22065.0
46,000564.SZ,20000322,5.1277,5.1905,5.0023,5.1905,1.7905,32118.0
47,000564.SZ,20000323,5.1563,5.3616,5.0821,5.3046,2.1982,35464.0
48,000564.SZ,20000324,5.3331,5.5898,5.1905,5.2133,-1.7211,47117.0
49,000564.SZ,20000327,5.219,5.5213,5.219,5.4643,4.8146,39847.0
50,000564.SZ,20000328,5.4757,5.5612,5.3331,5.3958,-1.2536,29301.0
51,000564.SZ,20000329,5.4186,5.4757,5.1506,5.2703,-2.3259,31629.0
52,000564.SZ,20000330,5.2475,5.3502,5.1905,5.3445,1.4079,24049.0
53,000564.SZ,20000331,5.3502,5.3616,5.2076,5.219,-2.3482,23631.0
54,000564.SZ,20000403,5.1334,5.1905,5.0764,5.1506,-1.3106,24280.0
55,000564.SZ,20000404,5.1334,5.1334,5.0308,5.0479,-1.9939,16112.0
56,000564.SZ,20000405,5.0479,5.2076,5.0422,5.1791,2.5991,15430.0
57,000564.SZ,20000406,5.1905,5.4186,5.1449,5.4072,4.4042,42790.0
58,000564.SZ,20000407,5.4186,5.9206,5.3103,5.7609,6.5413,119253.0
59,000564.SZ,20000410,5.7438,5.8578,5.6468,5.6867,-1.288,79013.0
60,000564.SZ,20000411,5.7038,5.7495,5.4015,5.4357,-4.4138,44815.0
61,000564.SZ,20000412,5.4529,5.6411,5.4072,5.5555,2.2039,31805.0
62,000564.SZ,20000413,5.5555,5.6981,5.4757,5.6126,1.0278,29448.0
63,000564.SZ,20000414,5.6696,6.1715,5.527,5.9833,6.6048,199612.0
64,000564.SZ,20000417,5.9263,5.9263,5.6183,5.6981,-4.7666,90302.0
65,000564.SZ,20000419,5.7609,5.9605,5.7095,5.9035,3.6047,35500.0
