,ts_code,trade_date,open,high,low,close,pct_chg,vol
0,002163.SZ,20070823,6.1106,6.2178,5.0129,5.1329,193.745,174107.22
1,002163.SZ,20070824,4.9314,5.0793,4.7191,4.8778,-4.9699,57418.97
2,002163.SZ,20070827,4.8907,4.9292,4.7213,4.7642,-2.3289,33503.33
3,002163.SZ,20070828,4.7706,4.97,4.7406,4.9228,3.329,29442.51
4,002163.SZ,20070829,4.8671,4.8885,4.7277,4.7449,-3.6138,18301.39
5,002163.SZ,20070830,4.7577,4.8349,4.7577,4.8027,1.2182,11103.08
6,002163.SZ,20070831,4.8027,4.9507,4.8027,4.837,0.7142,11426.1
7,002163.SZ,20070903,4.9314,4.9314,4.7856,4.8006,-0.7525,17479.32
8,002163.SZ,20070904,4.7813,4.7963,4.7234,4.7256,-1.5623,14595.69
9,002163.SZ,20070905,4.7191,4.777,4.6055,4.6377,-1.8601,17282.21
10,002163.SZ,20070906,4.6377,4.7084,4.6098,4.6634,0.5542,10270.67
11,002163.SZ,20070907,4.6548,4.6548,4.5562,4.5562,-2.2988,11023.08
12,002163.SZ,20070910,4.5133,4.5154,4.3525,4.4318,-2.7303,12197.44
13,002163.SZ,20070911,4.434,4.4768,4.1638,4.2238,-4.6934,11823.85
14,002163.SZ,20070913,4.3739,4.5026,4.3053,4.3418,2.7937,11906.11
15,002163.SZ,20070914,4.3203,4.4104,4.2882,4.3632,0.4929,8624.17
16,002163.SZ,20070917,4.3439,4.3632,4.2667,4.2774,-1.9664,12192.4
17,002163.SZ,20070918,4.2753,4.2753,4.1724,4.2303,-1.1011,11329.51
18,002163.SZ,20070919,4.2367,4.2839,4.1681,4.1702,-1.4207,6536.81
19,002163.SZ,20070920,4.1745,4.241,4.1681,4.1831,0.3093,5946.54
20,002163.SZ,20070921,4.181,4.2238,3.9666,4.048,-3.2297,10233.81
21,002163.SZ,20070924,4.0587,4.0673,3.8422,3.8529,-4.8197,10397.95
22,002163.SZ,20070925,3.8615,3.9387,3.8551,3.8851,0.8357,7350.63
23,002163.SZ,20070926,3.8851,3.928,3.8508,3.8551,-0.7722,5256.71
24,002163.SZ,20070927,3.8808,3.9816,3.795,3.9408,2.223,7680.93
25,002163.SZ,20070928,3.9451,3.9987,3.9194,3.9601,0.4897,6548.46
