,ts_code,trade_date,open,high,low,close,pct_chg,vol
0,000798.SZ,20000104,4.2572,4.3875,4.1703,4.344,2.2479,2909.0
1,000798.SZ,20000105,3.9096,4.5395,3.9096,4.3831,0.9001,3451.0
2,000798.SZ,20000106,4.344,4.5265,4.3267,4.5178,3.0732,3655.0
3,000798.SZ,20000107,4.5656,4.7567,4.4961,4.6959,3.9422,9225.0
4,000798.SZ,20000110,4.6916,4.8653,4.6047,4.8219,2.6832,10448.0
5,000798.SZ,20000111,4.9175,4.9739,4.6394,4.7003,-2.5218,21363.0
6,000798.SZ,20000112,4.6221,4.7524,4.5091,4.5222,-3.7891,6157.0
7,000798.SZ,20000113,4.5222,4.5743,4.4222,4.4266,-2.114,3767.0
8,000798.SZ,20000114,4.4353,4.5048,4.3006,4.3397,-1.9631,3004.0
9,000798.SZ,20000117,4.3223,4.4222,4.2398,4.3918,1.2005,2789.0
10,000798.SZ,20000118,4.4092,4.4309,4.344,4.4049,0.2983,2757.0
11,000798.SZ,20000119,4.4309,4.5265,4.3962,4.4787,1.6754,2385.0
12,000798.SZ,20000120,4.4961,4.5178,4.4222,4.4961,0.3885,3330.0
13,000798.SZ,20000121,4.4961,4.4961,4.3571,4.4092,-1.9328,7365.0
14,000798.SZ,20000124,4.3788,4.4092,4.2572,4.344,-1.4787,7740.0
15,000798.SZ,20000125,4.3093,4.4222,4.2876,4.3788,0.8011,5440.0
16,000798.SZ,20000126,4.3875,4.4613,4.331,4.4222,0.9911,3054.0
17,000798.SZ,20000127,4.5178,4.5178,4.344,4.3527,-1.5716,6350.0
18,000798.SZ,20000128,4.3397,4.3875,4.2572,4.3571,0.1011,11734.0
19,000798.SZ,20000214,4.4309,4.7263,4.4309,4.7133,8.1752,18819.0
20,000798.SZ,20000215,4.7567,4.7654,4.4744,4.5352,-3.7787,21480.0
21,000798.SZ,20000216,4.4744,4.5613,4.3571,4.4526,-1.8213,18256.0
22,000798.SZ,20000217,4.4657,4.6308,4.3354,4.3788,-1.6575,18539.0
23,000798.SZ,20000218,4.344,4.596,4.3354,4.4744,2.1832,10934.0
24,000798.SZ,20000221,4.5613,4.8219,4.3875,4.8132,7.572,21186.0
25,000798.SZ,20000222,4.8262,4.9001,4.5222,4.5308,-5.8672,15617.0
26,000798.SZ,20000223,4.4744,4.6568,4.4396,4.5613,0.6732,8346.0
27,000798.SZ,20000224,4.583,4.7785,4.583,4.6872,2.7602,15383.0
28,000798.SZ,20000225,4.7741,4.7741,4.6785,4.7263,0.8342,12822.0
29,000798.SZ,20000228,4.7698,4.9522,4.735,4.8871,3.4022,26477.0
30,000798.SZ,20000229,4.9088,4.9305,4.6481,4.735,-3.1123,13383.0
31,000798.SZ,20000301,4.7263,4.7785,4.6699,4.7698,0.735,9462.0
32,000798.SZ,20000302,4.7785,4.8219,4.596,4.6699,-2.0944,10251.0
33,000798.SZ,20000303,4.6916,4.7524,4.6221,4.7046,0.7431,11068.0
34,000798.SZ,20000306,4.7133,4.748,4.5613,4.5613,-3.046,10052.0
35,000798.SZ,20000307,4.5178,4.5308,4.4309,4.5091,-1.1444,6769.0
36,000798.SZ,20000308,4.5091,4.5917,4.4744,4.5395,0.6742,6214.0
37,000798.SZ,20000309,4.5178,4.5613,4.457,4.5613,0.4802,7491.0
38,000798.SZ,20000310,4.5569,4.5613,4.4309,4.4613,-2.1924,5395.0
39,000798.SZ,20000313,4.4309,4.5439,4.3875,4.5265,1.4615,4836.0
40,000798.SZ,20000314,4.3658,4.5091,4.3658,4.4353,-2.0148,8606.0
41,000798.SZ,20000315,4.4309,4.6351,4.4222,4.5786,3.2309,11700.0
42,000798.SZ,20000316,4.5613,4.5613,4.3571,4.3875,-4.1738,9006.0
43,000798.SZ,20000317,4.3571,4.444,4.3571,4.4396,1.1875,4860.0
44,000798.SZ,20000320,4.4744,4.6221,4.4222,4.5873,3.3269,8540.0
45,000798.SZ,20000321,4.6003,4.7133,4.5656,4.6785,1.9881,11853.0
46,000798.SZ,20000322,4.6785,4.7263,4.5699,4.6655,-0.2779,6945.0
47,000798.SZ,20000323,4.6785,4.8045,4.5873,4.7785,2.422,17965.0
48,000798.SZ,20000324,4.8002,4.8132,4.6481,4.6655,-2.3648,17635.0
49,000798.SZ,20000327,4.6047,4.9088,4.6047,4.8784,4.5633,18512.0
50,000798.SZ,20000328,4.9088,5.2042,4.9088,5.0912,4.3621,41570.0
51,000798.SZ,20000329,5.1043,5.1303,4.8871,4.9783,-2.2176,17697.0
52,000798.SZ,20000330,5.2129,5.4648,5.0738,5.2172,4.7988,41102.0
53,000798.SZ,20000331,5.2172,5.3432,5.1347,5.252,0.667,32665.0
54,000798.SZ,20000403,5.252,5.4301,5.2129,5.2129,-0.7445,24358.0
55,000798.SZ,20000404,5.1651,5.1694,4.9566,4.9652,-4.7517,21138.0
56,000798.SZ,20000405,4.9348,5.0608,4.8697,4.9913,0.5257,12544.0
57,000798.SZ,20000406,4.9783,5.0999,4.9783,5.0999,2.1758,12362.0
58,000798.SZ,20000407,5.1303,5.2085,5.0348,5.2085,2.1295,17756.0
59,000798.SZ,20000410,5.2563,5.3345,5.2172,5.2997,1.751,18915.0
60,000798.SZ,20000411,5.3084,5.3475,5.1694,5.1955,-1.9661,14339.0
61,000798.SZ,20000412,5.2042,5.2042,5.0434,5.0869,-2.0903,10278.0
62,000798.SZ,20000413,5.0912,5.2346,5.0652,5.2042,2.3059,10701.0
63,000798.SZ,20000414,5.2129,5.2346,5.1086,5.1911,-0.2517,8631.0
64,000798.SZ,20000417,5.1911,5.2346,4.9739,5.0174,-3.3461,12934.0
65,000798.SZ,20000418,4.9957,5.1911,4.9957,5.1825,3.2905,11200.0
66,000798.SZ,20000419,5.1911,5.3953,5.1868,5.2737,1.7598,24493.0
67,000798.SZ,20000420,5.2824,5.4214,5.278,5.3866,2.1408,28319.0
68,000798.SZ,20000421,5.4214,5.4648,5.2346,5.2911,-1.7729,17484.0
69,000798.SZ,20000424,5.278,5.6386,5.2563,5.6299,6.4032,46619.0
70,000798.SZ,20000425,5.6429,5.682,5.4778,5.5864,-0.7727,21241.0
71,000798.SZ,20000426,5.6473,5.8645,5.5604,5.5647,-0.3884,52316.0
72,000798.SZ,20000427,5.5517,5.5517,5.2042,5.2259,-6.0884,24471.0
73,000798.SZ,20000428,5.2346,5.4214,5.2172,5.3779,2.9086,15696.0
74,000798.SZ,20000508,5.3866,5.4431,5.2129,5.3736,-0.08,8516.0
75,000798.SZ,20000509,5.3432,5.3562,5.2563,5.2867,-1.6172,6866.0
76,000798.SZ,20000510,5.2129,5.2693,4.9957,5.0,-5.423,10338.0
77,000798.SZ,20000512,4.9348,5.0391,4.8436,4.8697,-2.606,6243.0
78,000798.SZ,20000515,4.8827,4.9435,4.8784,4.9218,1.0699,4797.0
79,000798.SZ,20000516,4.9088,4.9913,4.8871,4.9435,0.4409,4596.0
80,000798.SZ,20000517,4.9522,4.9652,4.8871,4.8914,-1.0539,5028.0
81,000798.SZ,20000518,4.8914,5.0825,4.8914,5.0825,3.9069,7195.0
82,000798.SZ,20000519,5.0825,5.1825,5.0304,5.126,0.8559,9258.0
83,000798.SZ,20000522,5.126,5.4257,5.126,5.3171,3.7281,13122.0
84,000798.SZ,20000523,5.3215,5.3432,5.2129,5.2693,-0.899,10422.0
85,000798.SZ,20000524,5.2693,5.4518,5.2693,5.3258,1.0722,12201.0
86,000798.SZ,20000525,5.3649,5.5387,5.3432,5.4692,2.6926,17293.0
87,000798.SZ,20000526,5.4778,5.5213,5.3866,5.4127,-1.0331,13892.0
88,000798.SZ,20000529,5.4344,5.6864,5.4301,5.5864,3.2091,24279.0
89,000798.SZ,20000530,5.5604,5.6386,5.3779,5.4257,-2.8766,14216.0
90,000798.SZ,20000531,5.391,5.5169,5.3649,5.4692,0.8017,9862.0
91,000798.SZ,20000601,5.4735,5.6386,5.3866,5.6299,2.9383,14523.0
92,000798.SZ,20000602,5.6386,5.6473,5.5169,5.5647,-1.1581,8891.0
93,000798.SZ,20000605,5.5387,5.6125,5.3432,5.3779,-3.3569,12864.0
94,000798.SZ,20000606,5.3649,5.5604,5.3475,5.5387,2.99,11850.0
95,000798.SZ,20000607,5.5604,5.8123,5.5083,5.682,2.5872,32178.0
96,000798.SZ,20000608,5.682,5.6994,5.5691,5.6516,-0.535,11625.0
97,000798.SZ,20000609,5.6473,6.0165,5.5647,5.821,2.9974,49574.0
98,000798.SZ,20000612,5.8254,5.9861,5.7776,5.9036,1.419,33068.0
99,000798.SZ,20000613,5.9079,6.1468,5.9079,5.9513,0.808,25083.0
100,000798.SZ,20000614,5.9513,5.9513,5.7776,5.8384,-1.8971,18399.0
101,000798.SZ,20000615,5.8427,5.9079,5.7559,5.8601,0.3717,10524.0
102,000798.SZ,20000616,5.8601,5.9079,5.6907,5.7211,-2.372,13063.0
103,000798.SZ,20000619,5.7081,5.8167,5.6255,5.6429,-1.3669,9888.0
104,000798.SZ,20000620,5.6473,5.7341,5.5256,5.5864,-1.0013,9414.0
105,000798.SZ,20000621,5.5951,5.7341,5.5951,5.7255,2.49,6410.0
106,000798.SZ,20000622,5.7255,5.821,5.6907,5.7341,0.1502,7178.0
107,000798.SZ,20000623,5.7776,5.9036,5.7515,5.8645,2.2741,9440.0
108,000798.SZ,20000626,5.8992,5.9513,5.8645,5.9079,0.74,9294.0
109,000798.SZ,20000627,5.9166,5.9774,5.8341,5.8601,-0.8091,10859.0
110,000798.SZ,20000628,5.8862,6.0773,5.8775,6.0382,3.0392,16456.0
111,000798.SZ,20000629,6.0867,6.1222,5.8958,5.9269,-1.8384,9972.0
112,000798.SZ,20000630,5.9269,5.9269,5.8115,5.8381,-1.4983,9733.0
113,000798.SZ,20000703,5.8159,5.8248,5.6827,5.6916,-2.5094,8844.0
114,000798.SZ,20000704,5.6827,5.7715,5.6428,5.7715,1.4038,5706.0
115,000798.SZ,20000705,5.7759,5.9003,5.7626,5.7715,0.0,4912.0
116,000798.SZ,20000706,5.8159,5.8159,5.6605,5.7138,-0.9997,5626.0
117,000798.SZ,20000707,5.7138,5.8159,5.6827,5.8115,1.7099,4753.0
118,000798.SZ,20000710,5.8159,5.9713,5.8159,5.9624,2.5966,6651.0
119,000798.SZ,20000711,5.9446,5.989,5.8958,5.9269,-0.5954,5971.0
120,000798.SZ,20000712,5.9491,5.9979,5.9047,5.9624,0.599,6757.0
121,000798.SZ,20000713,5.9935,6.0112,5.7937,5.807,-2.6063,10709.0
122,000798.SZ,20000714,5.807,5.8292,5.7182,5.736,-1.2227,12340.0
123,000798.SZ,20000717,5.736,5.8736,5.7182,5.7626,0.4637,6557.0
124,000798.SZ,20000718,5.7493,5.8425,5.7315,5.8248,1.0794,4590.0
125,000798.SZ,20000719,5.8248,5.8603,5.807,5.8337,0.1528,5881.0
