,ts_code,trade_date,open,high,low,close,pct_chg,vol
0,000555.SZ,20000104,4.1262,4.3903,4.1262,4.3618,0.9933,806.0
1,000555.SZ,20000105,4.3832,4.5509,4.2654,4.4474,1.9625,720.0
2,000555.SZ,20000106,4.4474,4.5509,4.3618,4.4296,-0.4002,929.0
3,000555.SZ,20000107,4.3939,4.5331,4.376,4.5331,2.3366,1766.0
4,000555.SZ,20000110,4.4974,4.5866,4.426,4.4653,-1.4957,1514.0
5,000555.SZ,20000111,4.4974,4.6901,4.4974,4.6901,5.0344,10431.0
6,000555.SZ,20000112,4.7615,4.9186,4.5831,4.5902,-2.13,2444.0
7,000555.SZ,20000113,4.608,4.6223,4.3939,4.4724,-2.5663,586.0
8,000555.SZ,20000114,4.4974,4.6402,4.4617,4.4974,0.559,683.0
9,000555.SZ,20000117,4.5045,4.5081,4.3225,4.3582,-3.0951,1242.0
10,000555.SZ,20000118,4.1405,4.2118,4.1405,4.1405,-4.9952,2520.0
11,000555.SZ,20000119,3.9798,4.0691,3.9334,3.9549,-4.4826,2657.0
12,000555.SZ,20000120,3.8906,4.1048,3.8906,4.0334,1.9849,754.0
13,000555.SZ,20000121,4.0691,4.1262,3.9263,4.0976,1.5917,1150.0
14,000555.SZ,20000124,4.1048,4.2404,4.1048,4.1762,1.9182,2670.0
15,000555.SZ,20000125,4.1654,4.1654,4.0084,4.0477,-3.077,1542.0
16,000555.SZ,20000126,3.9263,4.1012,3.9263,4.0369,-0.2668,1148.0
17,000555.SZ,20000127,3.9941,4.169,3.9941,4.1226,2.1229,3734.0
18,000555.SZ,20000128,4.0976,4.1048,3.9263,3.9977,-3.0296,2257.0
19,000555.SZ,20000214,4.0227,4.194,4.0084,4.194,4.9103,12194.0
20,000555.SZ,20000215,4.2761,4.401,4.0155,4.0691,-2.9781,4431.0
21,000555.SZ,20000216,4.0334,4.1405,3.8942,4.0833,0.349,5606.0
22,000555.SZ,20000217,4.0833,4.1048,3.8799,3.9763,-2.6204,3748.0
23,000555.SZ,20000218,3.9299,3.9334,3.7835,3.7907,-4.6677,2560.0
24,000555.SZ,20000221,3.7764,3.9798,3.6015,3.9798,4.9885,5813.0
25,000555.SZ,20000222,4.1797,4.1797,4.1797,4.1797,5.0229,1627.0
26,000555.SZ,20000223,4.3903,4.3903,4.0691,4.351,4.0984,13690.0
27,000555.SZ,20000224,4.1762,4.351,4.1762,4.2404,-2.5419,1831.0
28,000555.SZ,20000225,4.2404,4.2832,4.0298,4.0798,-3.7874,3229.0
29,000555.SZ,20000228,3.9263,4.1976,3.9084,4.0691,-0.2623,3954.0
30,000555.SZ,20000229,4.0691,4.0869,3.937,4.0655,-0.0885,4104.0
31,000555.SZ,20000301,4.0691,4.1405,3.9798,4.1405,1.8448,5834.0
32,000555.SZ,20000302,4.1405,4.1797,4.0869,4.1583,0.4299,6612.0
33,000555.SZ,20000303,4.1583,4.3546,4.1476,4.3546,4.7207,14529.0
34,000555.SZ,20000306,4.3796,4.5723,4.3725,4.5688,4.9189,22994.0
35,000555.SZ,20000307,4.5688,4.5759,4.3403,4.4617,-2.3442,9800.0
36,000555.SZ,20000308,4.4617,4.4795,4.2654,4.3368,-2.7994,7003.0
37,000555.SZ,20000309,4.3368,4.4546,4.2832,4.3154,-0.4935,6865.0
38,000555.SZ,20000310,4.2868,4.2904,4.1012,4.1226,-4.4677,6425.0
39,000555.SZ,20000313,4.1048,4.194,4.0405,4.0976,-0.6064,5231.0
40,000555.SZ,20000314,4.1726,4.3011,4.1333,4.3011,4.9663,9809.0
41,000555.SZ,20000315,4.3546,4.4439,4.2475,4.2939,-0.1674,8126.0
42,000555.SZ,20000316,4.2475,4.2475,4.0798,4.0798,-4.9861,5190.0
43,000555.SZ,20000317,4.0334,4.1762,3.9441,4.0976,0.4363,3445.0
44,000555.SZ,20000320,4.0691,4.144,3.9905,4.1405,1.047,4280.0
45,000555.SZ,20000321,4.1405,4.3189,4.1048,4.2475,2.5842,4012.0
46,000555.SZ,20000322,4.2832,4.3189,4.1762,4.2832,0.8405,4776.0
47,000555.SZ,20000323,4.2832,4.4474,4.2368,4.3903,2.5005,9723.0
48,000555.SZ,20000324,4.3903,4.401,4.194,4.2047,-4.2275,5700.0
49,000555.SZ,20000327,4.1619,4.3832,4.1333,4.3689,3.9052,5524.0
50,000555.SZ,20000328,4.3832,4.5866,4.3189,4.5866,4.9829,17331.0
51,000555.SZ,20000329,4.6045,4.8151,4.426,4.4831,-2.2566,29135.0
